frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,525,385,584,430,82.94
0,1,1210,507,1276,560,62.72
0,2,925,500,988,547,60.3
0,3,837,385,891,426,80.15
0,4,1128,480,1185,534,64.58
0,5,916,370,950,413,83.23
0,6,745,513,798,561,58.4
0,7,1204,436,1257,487,73.5
0,8,932,462,992,506,66.35
0,9,769,412,811,464,73.52
0,10,1019,506,1082,556,59.94
0,11,667,419,728,466,74.81
0,12,614,366,666,410,85.96
0,13,964,411,1011,449,75.35
0,14,545,518,625,576,60.94
0,15,671,394,721,429,79.37
0,16,688,370,733,405,83.37
0,17,959,381,1005,419,81.65
0,18,758,366,808,402,84.75
0,19,1070,374,1118,410,84.59
1,0,837,384,891,426,80.1
1,1,525,385,583,430,83.11
1,2,1210,507,1277,561,62.82
1,3,1128,480,1185,535,64.57
1,4,924,500,988,548,60.31
1,5,745,513,798,562,58.37
1,6,916,370,950,412,83.17
1,7,1204,438,1256,487,73.3
1,8,931,462,992,507,66.46
1,9,769,412,811,464,73.52
1,10,1018,506,1082,556,59.93
1,11,668,419,728,466,74.87
1,12,964,411,1011,449,75.5
1,13,546,519,624,575,60.88
1,14,614,366,666,410,85.86
1,15,687,370,733,405,83.31
1,16,671,394,721,429,78.89
1,17,958,381,1005,419,81.74
1,18,765,365,811,401,85.01
1,19,1066,371,1117,411,85.1
2,0,524,385,583,430,83.04
2,1,1209,508,1277,562,62.98
2,2,836,384,891,426,79.94
2,3,1128,480,1185,534,64.5
2,4,925,500,988,547,60.39
2,5,916,370,950,412,83.06
2,6,1204,437,1257,487,73.68
2,7,932,461,992,507,66.47
2,8,1018,506,1082,556,59.99
2,9,770,412,811,463,73.58
2,10,744,513,798,561,58.47
2,11,546,518,624,576,60.92
2,12,614,366,666,409,85.99
2,13,667,419,727,465,74.94
2,14,965,411,1011,449,75.53
2,15,671,395,721,429,78.94
2,16,688,371,734,405,83.41
2,17,958,381,1005,419,81.48
2,18,758,366,811,402,84.86
2,19,1067,372,1117,411,84.83
3,0,524,385,583,430,83.04
3,1,1210,507,1277,562,62.91
3,2,836,384,890,426,80.16
3,3,745,513,798,562,58.43
3,4,924,500,988,548,60.31
3,5,1128,480,1186,534,64.61
3,6,916,371,950,412,83.16
3,7,1203,436,1256,488,73.6
3,8,1019,506,1082,556,59.98
3,9,932,461,992,507,66.66
3,10,769,412,812,465,73.57
3,11,668,419,727,465,74.91
3,12,614,365,667,410,85.96
3,13,546,518,625,576,60.89
3,14,964,411,1011,449,75.65
3,15,687,370,733,405,83.29
3,16,759,365,812,402,85.04
3,17,671,395,722,429,80.02
3,18,958,381,1004,419,80.64
3,19,1069,374,1117,410,84.89
4,0,524,385,583,430,83.13
4,1,1211,509,1278,562,62.82
4,2,836,384,890,426,80.13
4,3,1128,480,1185,534,64.55
4,4,924,500,988,547,60.39
4,5,916,370,950,413,82.93
4,6,1204,437,1255,488,73.31
4,7,745,512,798,562,58.45
4,8,932,461,992,507,66.71
4,9,769,412,811,464,73.52
4,10,1018,506,1082,557,59.94
4,11,668,419,727,466,74.94
4,12,546,517,625,576,60.9
4,13,965,411,1011,449,75.65
4,14,615,365,666,409,86.01
4,15,671,394,721,429,79.38
4,16,958,381,1004,419,80.71
4,17,685,371,733,405,83.11
4,18,768,365,811,401,85.01
4,19,1068,374,1116,410,84.83
5,0,837,384,891,425,80.11
5,1,1210,508,1278,562,62.93
5,2,924,500,987,547,60.53
5,3,524,384,584,430,83.09
5,4,1128,479,1185,535,64.58
5,5,544,518,625,575,60.95
5,6,745,513,798,562,58.43
5,7,916,371,950,412,83.31
5,8,932,461,992,506,66.67
5,9,1018,506,1081,556,59.99
5,10,1204,437,1257,486,74.1
5,11,614,365,666,409,85.85
5,12,769,412,811,464,73.57
5,13,667,419,727,466,74.91
5,14,965,411,1012,448,75.78
5,15,671,394,722,429,79.78
5,16,773,365,812,401,85.03
5,17,959,381,1004,419,80.71
5,18,684,371,733,405,83.16
5,19,1066,374,1117,410,84.99
6,0,524,385,583,430,83.14
6,1,745,512,798,562,58.49
6,2,1211,508,1278,561,62.86
6,3,836,384,890,426,79.93
6,4,1128,480,1185,534,64.59
6,5,924,500,988,547,60.47
6,6,916,370,950,413,83.23
6,7,932,461,993,507,66.68
6,8,1204,436,1256,488,73.32
6,9,546,518,625,576,60.94
6,10,1018,506,1082,556,60.02
6,11,769,412,811,464,73.59
6,12,614,366,667,410,85.71
6,13,965,411,1011,448,75.67
6,14,668,419,727,466,74.86
6,15,671,394,721,429,80.11
6,16,958,382,1005,419,80.85
6,17,770,365,810,402,84.89
6,18,685,371,733,405,83.33
6,19,1067,375,1117,411,84.84
7,0,524,385,584,431,83.14
7,1,745,512,798,562,58.47
7,2,1210,507,1277,562,62.86
7,3,925,500,988,548,60.43
7,4,1128,481,1185,534,64.51
7,5,837,384,890,426,80.14
7,6,916,370,950,412,83.16
7,7,1204,436,1256,488,73.24
7,8,544,518,626,576,60.96
7,9,933,461,992,506,66.69
7,10,768,412,811,464,73.62
7,11,614,366,666,410,85.5
7,12,668,419,727,466,74.89
7,13,1017,506,1082,557,60.04
7,14,965,411,1011,448,75.66
7,15,671,395,721,429,79.68
7,16,689,371,733,405,83.4
7,17,958,381,1004,419,80.84
7,18,774,365,812,402,84.94
7,19,1070,374,1117,410,84.88
8,0,524,384,584,430,83.16
8,1,1211,509,1278,562,62.82
8,2,836,385,890,425,80.01
8,3,924,500,988,548,60.36
8,4,1129,479,1186,534,64.59
8,5,745,513,798,562,58.41
8,6,1204,437,1256,488,73.2
8,7,916,370,950,412,83.14
8,8,543,518,625,577,60.94
8,9,932,461,993,507,66.69
8,10,1018,506,1082,557,60.01
8,11,769,412,811,464,73.51
8,12,965,411,1012,449,75.62
8,13,667,420,727,466,74.87
8,14,615,365,666,409,85.64
8,15,671,395,722,429,80.24
8,16,958,381,1005,419,80.85
8,17,762,365,811,402,84.91
8,18,685,370,733,405,83.87
8,19,1068,375,1117,410,84.83
9,0,526,384,584,429,83.22
9,1,1210,508,1276,561,62.82
9,2,1128,480,1185,534,64.62
9,3,837,384,890,425,79.98
9,4,925,499,988,548,60.37
9,5,916,370,950,412,83.19
9,6,1204,437,1256,487,73.64
9,7,744,513,798,562,58.43
9,8,1018,506,1081,556,60.02
9,9,932,461,993,507,66.73
9,10,769,412,812,464,73.58
9,11,668,419,727,465,74.9
9,12,965,411,1012,449,75.67
9,13,544,518,625,576,60.96
9,14,671,394,721,429,79.89
9,15,617,367,666,410,85.41
9,16,689,370,733,405,83.4
9,17,958,381,1004,419,80.63
9,18,757,365,802,402,84.88
9,19,1070,374,1117,410,84.83
10,0,525,384,583,430,83.19
10,1,1210,508,1277,560,62.9
10,2,837,384,890,426,80.0
10,3,1128,480,1186,534,64.66
10,4,925,500,988,548,60.48
10,5,916,370,950,413,83.33
10,7,932,461,993,507,66.57
10,8,745,513,798,562,58.44
10,9,769,412,811,464,73.57
10,10,1017,506,1082,556,60.01
10,11,546,518,625,577,60.91
10,12,964,411,1011,448,75.69
10,13,668,419,727,465,74.92
10,14,614,366,666,409,85.71
10,15,671,394,721,429,80.08
10,16,958,381,1005,420,80.53
10,17,778,365,812,402,85.02
10,18,688,371,733,405,83.45
10,19,757,365,790,402,85.16
10,20,1067,374,1118,411,85.27
11,0,1209,507,1278,561,62.94
11,1,525,385,583,430,83.17
11,2,836,384,890,426,79.92
11,3,925,500,988,547,60.39
11,4,1128,480,1185,534,64.61
11,5,916,370,950,412,83.09
11,6,745,513,798,562,58.44
11,7,932,461,993,506,66.67
11,8,1204,437,1257,487,73.34
11,9,1017,506,1082,557,59.97
11,10,768,412,811,465,73.58
11,11,614,366,666,410,85.53
11,12,667,419,727,466,74.88
11,13,964,411,1012,448,75.79
11,14,546,518,625,576,60.85
11,15,671,397,720,430,79.05
11,16,958,381,1005,419,80.66
11,17,767,365,812,401,84.72
11,18,687,371,733,405,83.43
11,19,1066,373,1119,411,84.78
12,0,525,384,583,430,83.19
12,1,837,385,891,426,80.02
12,2,925,500,987,547,60.41
12,3,1210,508,1278,561,62.9
12,4,1128,480,1185,534,64.58
12,5,932,461,992,506,66.33
12,6,916,370,950,412,82.99
12,7,1018,506,1082,555,60.01
12,8,1205,437,1256,488,73.34
12,9,745,513,798,561,58.5
12,10,769,411,811,464,73.6
12,11,667,419,727,466,74.92
12,12,544,518,625,576,60.94
12,13,965,411,1011,449,75.6
12,14,614,366,667,409,85.6
12,15,672,394,721,429,79.68
12,16,958,381,1005,419,80.67
12,17,687,371,732,405,83.4
12,18,770,366,811,401,84.85
12,19,1066,373,1118,411,85.01
13,0,524,384,584,430,83.16
13,1,1210,507,1277,562,62.9
13,2,925,500,988,547,60.45
13,3,837,385,889,425,80.03
13,4,1129,480,1186,534,64.62
13,5,932,461,992,506,66.39
13,6,1204,437,1256,487,73.88
13,7,916,371,950,412,83.04
13,8,1018,505,1082,556,59.98
13,9,745,513,798,561,58.46
13,10,769,412,811,464,73.61
13,11,965,411,1012,448,75.7
13,12,668,419,726,465,74.94
13,13,545,518,625,576,60.96
13,14,614,366,666,409,85.59
13,15,671,395,721,429,79.36
13,16,958,381,1005,419,80.91
13,17,687,371,733,405,83.61
13,18,765,366,809,401,84.83
13,19,1068,374,1117,411,84.97
14,0,525,385,583,430,83.12
14,1,1210,508,1278,561,62.91
14,2,1128,480,1186,534,64.65
14,3,838,385,890,426,79.97
14,4,924,499,988,547,60.41
14,6,744,513,798,561,58.56
14,7,916,370,950,413,83.15
14,8,932,461,993,507,66.36
14,9,1018,505,1082,556,60.05
14,10,544,518,625,575,60.91
14,11,769,411,812,464,73.64
14,12,667,419,727,465,74.94
14,13,614,366,667,410,85.64
14,14,964,411,1012,449,75.66
14,15,671,394,722,429,79.76
14,16,958,381,1006,419,80.95
14,17,685,371,733,405,83.52
14,18,764,365,812,402,85.03
14,19,1066,374,1117,411,84.83
15,0,525,384,583,430,83.15
15,1,1210,508,1278,562,62.82
15,2,837,384,890,426,79.97
15,3,745,512,798,562,58.49
15,4,1127,480,1186,534,64.58
15,5,916,370,950,412,83.23
15,6,924,499,988,547,60.54
15,7,1204,437,1256,487,73.24
15,8,932,460,992,507,66.54
15,9,614,366,666,409,85.68
15,10,1018,506,1082,556,59.99
15,11,769,412,811,464,73.58
15,12,545,518,625,576,60.94
15,13,964,411,1012,449,75.68
15,14,668,419,727,466,74.88
15,15,671,395,722,429,79.39
15,16,958,382,1006,419,80.58
15,17,685,371,733,404,83.64
15,18,761,366,811,402,84.94
15,19,1067,372,1117,411,85.12
16,0,524,384,583,430,83.17
16,1,1210,508,1278,561,62.92
16,2,836,384,890,426,80.03
16,3,1128,480,1186,534,64.58
16,4,916,370,950,413,83.27
16,5,925,500,988,547,60.45
16,6,745,512,798,561,58.57
16,7,932,461,993,507,66.36
16,8,1018,506,1082,556,60.02
16,9,614,366,667,409,85.72
16,10,546,517,625,576,61.0
16,11,769,412,811,463,73.63
16,12,1204,437,1257,488,73.23
16,13,964,410,1012,448,75.81
16,14,667,419,727,466,74.91
16,15,671,395,721,429,79.37
16,16,958,381,1006,419,80.62
16,17,764,366,811,402,85.06
16,18,689,371,734,405,83.54
16,19,1067,371,1117,411,85.26
17,0,524,384,583,430,83.12
17,1,1128,480,1185,533,64.72
17,2,1211,508,1277,562,62.87
17,3,837,384,891,426,79.85
17,4,924,500,988,548,60.59
17,5,916,370,950,413,83.03
17,6,745,513,798,561,58.54
17,7,1204,436,1257,487,73.56
17,8,932,461,993,507,66.33
17,9,544,518,626,576,61.03
17,10,1018,506,1082,556,60.01
17,11,769,412,811,464,73.57
17,12,614,366,666,409,85.61
17,13,667,419,727,466,74.91
17,14,965,411,1012,448,75.57
17,15,672,395,721,429,80.12
17,16,763,365,811,402,84.98
17,17,958,381,1006,419,80.67
17,18,684,371,733,405,83.61
17,19,1066,372,1117,410,85.68
18,0,524,384,583,430,83.08
18,1,1211,507,1277,562,62.94
18,2,1128,480,1186,534,64.58
18,3,837,384,891,426,80.03
18,4,925,500,988,547,60.6
18,5,916,370,950,412,83.25
18,6,1203,437,1256,487,73.33
18,7,932,461,992,506,66.62
18,8,1018,506,1082,556,60.07
18,9,769,412,812,464,73.54
18,10,544,518,625,577,60.92
18,11,745,512,798,561,58.55
18,12,965,411,1011,448,75.61
18,13,667,419,727,466,74.9
18,14,614,366,667,410,85.47
18,15,671,395,721,429,79.53
18,16,958,382,1005,420,80.48
18,17,689,372,733,405,83.3
18,18,766,366,813,402,84.99
