frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,508,389,591,452,55.04
0,1,586,296,649,348,67.55
0,2,950,353,1022,411,53.16
0,3,725,376,799,433,52.06
0,4,772,269,816,330,67.01
0,5,670,304,732,360,63.77
0,6,1132,315,1198,372,58.39
0,7,1158,265,1218,319,66.57
0,8,868,275,910,327,66.11
0,9,1299,348,1385,408,55.93
0,10,1057,350,1137,414,53.17
0,11,806,323,879,372,60.21
0,12,999,251,1049,308,68.7
0,13,782,227,832,270,77.56
0,14,942,220,982,270,77.25
0,15,661,259,719,307,72.25
0,16,598,233,655,280,79.7
0,17,854,240,907,285,73.11
0,18,683,232,732,278,88.28
0,19,1116,217,1176,258,77.55
1,0,508,389,590,452,54.98
1,1,586,296,649,347,67.59
1,2,725,374,798,434,52.08
1,3,950,353,1022,412,53.12
1,4,771,270,817,329,67.05
1,5,670,304,731,361,63.8
1,6,1132,314,1197,372,58.58
1,7,1158,265,1217,320,66.19
1,8,868,275,910,326,66.15
1,9,805,324,880,372,60.15
1,10,1300,347,1387,407,55.98
1,11,1057,350,1137,414,53.18
1,12,782,227,832,270,77.64
1,13,999,250,1049,308,68.8
1,14,662,259,718,306,72.36
1,15,855,239,907,285,73.09
1,16,942,220,982,270,77.29
1,17,598,233,655,279,79.16
1,18,682,232,732,277,77.18
1,19,1116,219,1176,260,77.18
2,0,508,389,590,452,54.98
2,1,586,296,649,347,67.57
2,2,725,374,797,433,52.04
2,3,950,352,1023,412,53.23
2,4,670,304,731,360,63.8
2,5,771,270,817,330,67.23
2,6,1159,265,1217,319,66.87
2,7,1132,314,1198,371,58.47
2,8,805,323,880,372,60.19
2,9,868,276,910,326,66.08
2,10,1300,348,1388,407,55.97
2,11,1058,350,1137,414,53.16
2,12,782,227,832,269,77.73
2,13,1000,250,1049,308,68.82
2,14,662,260,719,307,72.25
2,15,598,232,655,280,79.24
2,16,942,220,981,269,77.53
2,17,853,240,906,285,73.12
2,18,683,232,732,278,77.51
2,19,1116,219,1176,259,77.18
3,0,507,390,592,452,54.98
3,1,586,296,649,348,67.55
3,2,724,375,798,433,52.07
3,3,950,352,1022,412,53.19
3,4,771,270,817,329,67.02
3,5,670,304,731,361,63.77
3,6,868,275,910,326,66.17
3,7,1131,314,1197,371,58.67
3,8,1158,266,1218,320,66.08
3,9,804,324,880,373,60.19
3,10,1299,348,1385,407,55.99
3,11,1058,350,1137,414,53.2
3,12,781,226,832,269,78.02
3,13,999,250,1049,307,68.81
3,14,942,220,982,270,77.4
3,15,662,260,719,306,72.23
3,16,855,240,908,285,73.18
3,17,599,233,655,280,79.15
3,18,683,232,732,278,77.16
3,19,1117,215,1177,258,77.28
4,0,508,390,591,452,54.94
4,1,587,296,649,347,67.56
4,2,726,375,798,433,52.05
4,3,951,352,1022,411,53.2
4,4,772,270,817,330,67.07
4,5,670,304,731,361,63.78
4,6,1158,266,1217,320,66.16
4,7,805,323,880,373,60.17
4,8,1131,315,1198,372,58.4
4,9,868,275,909,327,66.06
4,10,1058,350,1137,415,53.24
4,11,782,227,833,269,77.73
4,12,1000,250,1049,307,68.88
4,13,942,221,982,269,78.34
4,14,662,260,719,307,72.38
4,15,599,233,654,280,79.12
4,16,854,239,906,285,73.11
4,17,1299,346,1389,408,56.06
4,18,684,232,732,278,76.89
4,19,1118,217,1176,258,77.26
5,0,508,389,591,452,54.98
5,1,586,296,649,347,67.6
5,2,726,374,797,433,52.04
5,3,951,352,1022,411,53.25
5,4,772,269,817,329,67.03
5,5,670,304,731,360,63.73
5,6,806,324,879,372,60.18
5,7,869,276,909,326,66.1
5,8,1158,266,1217,320,66.36
5,9,1132,314,1197,372,58.45
5,10,1058,350,1137,414,53.19
5,11,999,250,1049,307,68.72
5,12,1300,349,1387,408,55.94
5,13,854,239,907,285,73.01
5,14,782,227,833,269,77.64
5,15,942,220,983,270,77.31
5,16,599,233,655,280,79.41
5,17,662,260,718,307,72.21
5,18,683,232,732,278,88.76
5,19,1116,216,1176,258,77.31
6,0,507,389,592,452,54.97
6,1,586,295,649,348,67.6
6,2,951,352,1022,411,53.18
6,3,725,375,798,433,52.07
6,4,771,270,817,330,67.04
6,5,670,304,731,360,63.73
6,6,1159,266,1218,320,66.22
6,7,869,275,910,326,66.09
6,8,804,324,880,372,60.12
6,9,1132,315,1197,372,58.44
6,10,1059,350,1137,414,53.19
6,11,661,259,719,308,72.24
6,12,1301,348,1387,408,55.95
6,13,999,252,1049,307,68.69
6,14,942,220,982,270,77.38
6,15,782,226,833,269,77.8
6,16,598,233,654,280,79.49
6,17,853,239,907,285,73.23
6,18,683,232,732,278,77.37
6,19,1117,217,1175,258,77.25
7,0,508,389,590,452,54.92
7,1,587,295,649,347,67.6
7,2,726,374,797,433,52.07
7,3,951,352,1022,411,53.2
7,4,772,270,817,329,66.98
7,5,670,304,731,360,63.73
7,6,806,324,879,372,60.19
7,7,868,276,910,326,66.05
7,8,1133,314,1197,372,58.46
7,9,1158,266,1218,320,66.33
7,10,1058,350,1137,414,53.23
7,11,999,252,1049,306,68.74
7,12,942,220,982,269,77.26
7,13,781,226,832,269,77.79
7,14,1300,349,1387,407,55.94
7,15,662,260,719,307,72.3
7,16,854,240,907,285,73.18
7,17,598,232,654,280,79.56
7,18,682,232,733,277,77.38
7,19,1116,216,1176,258,77.44
8,0,509,389,590,452,54.94
8,1,586,296,649,348,67.6
8,2,726,375,797,433,52.06
8,3,951,352,1022,411,53.22
8,4,772,270,817,329,67.14
8,5,670,303,732,361,63.85
8,6,806,324,880,373,60.12
8,7,1158,266,1218,320,66.24
8,8,868,275,909,326,66.06
8,9,1132,314,1196,371,58.55
8,10,1059,350,1137,414,53.25
8,11,942,220,983,270,77.29
8,12,999,252,1049,307,68.73
8,13,782,227,833,269,77.83
8,14,662,260,719,307,72.26
8,15,853,239,906,285,73.12
8,16,598,233,655,280,79.48
8,17,682,232,732,277,77.12
8,18,1300,345,1387,407,56.03
8,19,1117,217,1176,258,77.32
9,0,509,390,590,453,54.9
9,1,586,296,649,348,67.62
9,2,726,375,797,433,52.07
9,3,951,353,1022,411,53.2
9,4,670,304,731,360,63.85
9,5,771,270,818,329,67.11
9,6,1132,315,1197,371,58.47
9,7,1158,267,1217,320,66.22
9,8,805,324,880,372,60.2
9,9,868,275,910,326,66.23
9,10,1059,350,1137,415,53.15
9,11,781,227,832,269,77.85
9,12,999,250,1049,307,68.68
9,13,942,220,983,270,77.4
9,14,662,260,719,307,72.28
9,15,854,239,907,285,73.08
9,16,598,233,655,280,79.38
9,17,1300,348,1386,408,55.93
9,18,682,232,733,277,76.87
9,19,1116,217,1175,258,77.37
10,0,509,390,591,451,54.95
10,1,586,296,648,347,67.62
10,2,725,375,797,433,52.06
10,3,951,352,1022,410,53.19
10,4,671,304,731,361,63.75
10,5,772,270,817,329,67.06
10,6,868,276,909,326,66.13
10,7,1158,266,1218,320,66.35
10,8,1131,314,1197,372,58.59
10,9,806,324,879,372,60.07
10,10,1058,350,1136,414,53.11
10,11,942,219,983,270,77.26
10,12,999,251,1048,307,68.63
10,13,662,260,719,307,72.21
10,14,854,240,906,285,73.45
10,15,782,227,833,269,77.79
10,16,598,233,655,280,79.83
10,17,1300,349,1386,408,55.9
10,18,683,232,732,277,77.12
10,19,1116,216,1176,257,80.47
11,0,509,389,590,451,54.96
11,1,587,295,649,347,67.62
11,2,726,374,797,433,52.09
11,3,951,352,1022,410,53.24
11,4,671,304,731,360,63.75
11,5,772,270,817,329,67.05
11,6,869,276,909,326,66.08
11,7,807,324,879,372,60.11
11,8,1158,267,1217,319,66.32
11,9,1132,314,1197,371,58.44
11,10,1300,348,1384,407,55.93
11,11,1059,350,1136,414,53.16
11,12,999,252,1048,307,68.62
11,13,662,259,719,307,72.22
11,14,782,227,832,270,77.64
11,15,942,220,982,269,77.37
11,16,598,232,656,280,79.22
11,17,855,240,906,285,73.1
11,18,681,232,732,278,77.11
11,19,1116,217,1175,258,77.42
12,0,508,390,591,452,54.97
12,1,586,296,649,347,67.61
12,2,725,375,798,433,52.07
12,3,951,352,1022,410,53.21
12,4,772,270,817,329,67.01
12,5,671,304,732,360,63.77
12,6,808,324,878,372,60.04
12,7,868,275,909,326,66.24
12,8,1157,266,1218,319,66.3
12,9,1132,315,1197,371,58.5
12,10,1058,350,1137,415,53.15
12,11,999,252,1048,307,68.65
12,12,782,227,832,269,77.85
12,13,943,219,983,270,77.34
12,14,854,239,907,285,73.14
12,15,662,260,719,307,72.2
12,16,598,233,655,280,79.43
12,17,1299,347,1387,408,55.99
12,18,683,232,732,278,77.39
12,19,1117,217,1177,257,77.74
13,0,509,389,591,451,54.95
13,1,587,296,649,347,67.59
13,2,726,374,797,433,52.05
13,3,951,352,1022,410,53.23
13,4,771,270,817,329,67.12
13,5,670,304,731,361,63.74
13,6,868,275,909,326,66.24
13,7,1158,267,1217,319,66.31
13,8,807,324,879,372,60.01
13,9,1131,314,1198,371,58.48
13,10,1059,351,1137,414,53.18
13,11,999,251,1048,307,68.6
13,12,943,220,982,269,77.35
13,13,783,227,832,270,77.67
13,14,662,259,719,307,72.21
13,15,1299,348,1388,408,56.01
13,16,598,233,655,280,79.21
13,17,854,239,907,285,73.19
13,18,682,232,732,278,77.66
13,19,1116,216,1177,258,77.89
14,0,508,389,591,452,54.96
14,1,586,295,649,347,67.61
14,2,951,352,1022,411,53.22
14,3,725,375,798,433,52.06
14,4,671,304,731,360,63.77
14,5,771,270,817,330,66.96
14,6,1132,314,1196,371,58.66
14,7,868,275,910,326,66.08
14,8,807,323,879,372,60.08
14,9,1158,267,1218,319,66.21
14,10,1058,350,1137,414,53.14
14,11,1300,348,1385,407,55.99
14,12,999,251,1048,307,68.67
14,13,782,227,832,270,77.55
14,14,661,259,719,307,72.29
14,15,599,232,656,280,79.46
14,16,942,220,983,269,77.58
14,17,855,239,907,284,73.13
14,18,682,231,732,278,77.25
14,19,1116,217,1177,258,77.34
15,0,509,389,591,451,55.01
15,1,587,296,650,347,67.58
15,2,725,375,797,433,52.05
15,3,950,352,1022,411,53.2
15,4,772,270,817,330,66.96
15,5,670,304,732,361,63.77
15,6,1059,350,1137,414,53.12
15,7,868,275,909,326,66.07
15,8,1133,314,1197,371,58.65
15,9,1158,266,1217,320,66.24
15,10,806,323,879,372,60.09
15,11,999,251,1049,307,68.7
15,12,662,259,719,307,72.22
15,13,1301,348,1386,408,55.95
15,14,782,227,833,269,77.7
15,15,942,220,982,270,77.33
15,16,854,240,907,285,73.24
15,17,598,232,655,280,79.63
15,18,682,231,732,277,86.82
15,19,1117,216,1176,258,77.24
16,0,509,390,590,452,54.93
16,1,586,296,649,347,67.6
16,2,725,375,797,433,52.04
16,3,951,352,1022,410,53.22
16,4,772,270,816,329,67.0
16,5,671,304,732,360,63.72
16,6,806,323,879,372,60.17
16,7,869,275,909,326,66.21
16,8,1132,314,1196,372,58.59
16,9,1058,351,1137,414,53.15
16,10,999,251,1048,307,68.75
16,11,1158,267,1217,320,66.1
16,12,943,219,982,269,77.55
16,13,783,226,833,269,77.75
16,14,662,259,718,307,72.31
16,15,855,239,907,285,73.0
16,16,598,233,655,280,78.95
16,17,1301,347,1387,408,56.0
16,18,684,232,733,278,76.95
16,19,1117,217,1176,258,77.26
17,0,509,390,590,451,54.99
17,1,585,296,649,347,67.59
17,2,726,375,797,433,52.04
17,3,950,352,1022,411,53.21
17,4,670,304,732,361,63.78
17,5,771,270,817,329,67.04
17,6,805,324,880,373,60.05
17,7,1132,314,1197,372,58.36
