frame;ID;X_pc;Y_pc;Z_pc;Z_slant_pc;cm_pc;X_ts;Y_ts;Z_ts;Z_slant_ts;cm_ts;X_actual;Y_actual;Z_actual;jarak actual;
0;0;-0.0030490523;0.22332028;0.7663826;0.7993068;77.39;-0.002294646889533231;0.21611912604730665;0.7582317196350119;0.788433943148357;76.26;0;0,21;0,76;76;
0;1;-0.14887743;0.21063435;0.58906984;0.6686833;63.81;-0.14765040769782167;0.20184040099832654;0.594181271193442;0.6446639228354204;61.29;0,13;0,21;0,6;60;
0;2;0.44404945;0.23168038;0.8164712;10.251.579;100.55;0.4466452418380007;0.22582982212842118;0.8344935524219811;0.9730727463314026;95.23;0,45;0,21;0,91;83;.
0;3;-0.07545614;0.22178352;0.8077202;0.8587103;83.51;-0.06816543155569008;0.21322651005621654;0.8048958183827772;0.8354455991266025;81.12;0;0,21;0,8;82;
0;4;0.27703622;0.2240295;0.7314606;0.8378178;81.36;0.2701551132473836;0.21522328116477116;0.7277661936301327;0.8055733849624929;78.04;0,28;0,21;0,74;76;.
0;5;0.21533471;0.22319606;0.67820024;0.76629186;73.97;0.21784459752941412;0.21780041786679033;0.6881989349968358;0.7539967273314122;72.7;0,21;0,21;0,77;72;
0;6;0.30138776;0.2556674;10.559.883;11.355.859;111.78;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;10.827.067.758.805.500;106.41;0,22;0,21;0,99;104;
0;7;0.087539636;0.25001454;10.891.683;11.177.605;109.97;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;11.360.411.422.689.300;111.83;0,1;0,21;1,04;111;
0;8;0.13772759;0.24673559;10.108.967;10.568.396;103.77;0.13879714001630447;0.2324897796528388;10.129.872.829.276.800;10.485.510.855.904.600;102.93;0,18;0,21;1,03;102;
0;9;0.23626071;0.23399594;0.84259915;0.9278073;90.6;0.23195211424467743;0.22594926302579818;0.840857102927854;0.9010524514747745;87.86;0,24;0,21;0,85;86;
0;10;0.761703;0.41408634;18.840.185;19.339.968;192.36;0.4147923750557977;0.23494545312750648;10.115.694.991.860.400;11.182.687.208.507.700;110.02;0,43;0,21;1,05;105;.
0;11;-0.076182514;0.25617707;1.103.808;11.349.288;111.72;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;10.367.142.649.125.500;101.72;0,03;0,21;1,03;108;.
0;12;0.33552846;0.2557352;11.099.652;12.142.109;119.76;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;11.615.072.083.215.900;114.42;0,36;0,21;1,12;113;.
