frame;ID;left_xmin;left_ymin;left_xmax;left_ymax;f;C_x;C_y;x_il;v_il;x_ir;v_ir;disparitas;X_val;Y_val;Z_val;distance_cm;;X_actual;Y_actual;Z_actual
0;0;924;258;996;308;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;960;283;795;284;165;-0.002294646889533231;0.21611912604730665;0.7582317196350119;76.26;;0;0,21;0,76
0;1;677;310;746;367;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;711;338;506;337;205;-0.14765040769782167;0.20184040099832654;0.594181271193442;61.29;;0,13;0,21;0,6
0;2;1501;243;1550;293;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1525;268;1374;267;151;0.4466452418380007;0.22582982212842118;0.8344935524219811;95.23;;0,45;0,21;0,91
0;3;845;238;903;287;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;874;262;717;263;157;-0.06816543155569008;0.21322651005621654;0.8048958183827772;81.12;;0;0,21;0,8
0;4;1315;268;1381;321;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1348;294;1177;295;171;0.2701551132473836;0.21522328116477116;0.7277661936301327;78.04;;0,28;0,21;0,74
0;5;1253;283;1324;347;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1288;315;1109;311;179;0.21784459752941412;0.21780041786679033;0.6881989349968358;72.7;;0,21;0,21;0,77
0;6;1233;211;1284;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1258;231;1132;230;126;0.2808969226507651;0.2401103168431512;10.176.924.472.199.100;106.41;;0,22;0,21;0,99
0;7;1019;184;1068;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1043;208;926;208;117;0.0819198479514573;0.23814438047637254;1.107.775.189.055.450;111.83;;0,1;0,21;1,04
0;8;1085;199;1135;249;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1110;224;983;223;127;0.13879714001630447;0.2324897796528388;10.129.872.829.276.800;102.93;;0,18;0,21;1,03
0;9;1223;243;1284;289;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1253;266;1103;263;150;0.23195211424467743;0.22594926302579818;0.840857102927854;87.86;;0,24;0,21;0,85
0;10;1380;204;1424;251;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1402;227;1275;226;127;0.4147923750557977;0.23494545312750648;10.115.694.991.860.400;110.02;;0,43;0,21;1,05
0;11;866;191;918;234;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;892;212;764;213;128;-0.0667286744686102;0.22092749914671345;10.107.001.490.044.500;101.72;;0,03;0,21;1,03
0;12;1265;186;1315;233;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;1290;209;1171;209;119;0.3296996723082609;0.23501554083610515;1.088.652.753.006.370;114.42;;0,36;0,21;1,12
0;13;488;356;601;442;10.511.309.814.453.100;9.631.541.137.695.310;5.468.471.069.335.930;544;399;304;395;240;-0.2096452103987474;0.19882770697530783;0.49227487657982255;53.46;;0,19;0,21;0,49
