frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,f,C_x,C_y,x_il,v_il,x_ir,v_ir,disparitas,X,Y,Z,X_val,Y_val,Z_val,distance_cm
0,0,943,31,987,78,1051.1309814453125,963.1541137695312,546.8471069335938,965,54,756,24,209,-0.0027490766951814294,0.5121326684951782,1.4344456791877747,0.0010601836388603122,-0.28306643746833055,0.6037164427758425,135.93
0,1,790,38,830,87,1051.1309814453125,963.1541137695312,546.8471069335938,810,62,763,55,47,-0.16687878966331482,0.5216305494308472,1.2336079478263855,-0.39115894160886455,-1.2383100690044557,2.684611415747895,120.07
0,2,907,11,945,51,1051.1309814453125,963.1541137695312,546.8471069335938,926,31,833,28,93,-0.051032859832048416,0.5024442613124848,1.4780542850494385,-0.04795638209008112,-0.6658256233380333,1.3567391025822695,143.57
0,3,1034,13,1076,58,1051.1309814453125,963.1541137695312,546.8471069335938,1055,35,958,33,97,0.11433065682649612,0.5026818752288819,1.4742621183395386,0.11366072671987626,-0.6334188337793947,1.300791098352073,142.32
0,4,1157,10,1197,56,1051.1309814453125,963.1541137695312,546.8471069335938,1177,33,1078,30,99,0.269104540348053,0.5014565229415894,1.4950984120368958,0.25929142781637204,-0.6230475244799918,1.2745124903045562,146.16
0,5,855,36,892,75,1051.1309814453125,963.1541137695312,546.8471069335938,873,55,855,55,18,-0.1015356034040451,0.5193479895591736,1.28874671459198,-0.6012228765390166,-3.2800470226345624,7.009818696675059,124.8
0,6,871,0,900,43,1051.1309814453125,963.1541137695312,546.8471069335938,885,21,798,17,87,-0.10666847974061966,0.48858931064605715,1.601574420928955,-0.1078338332895955,-0.7255422207474331,1.4503073165534606,155.58
1,0,944,31,987,79,1051.1309814453125,963.1541137695312,546.8471069335938,965,55,855,55,110,0.003127435455098748,0.5096108853816986,1.4336352348327637,0.002014348913834593,-0.5367349673402011,1.1470612412741006,134.86
1,1,790,36,830,86,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,763,54,47,-0.16679570078849792,0.5221723556518555,1.226503610610962,-0.39115894160886455,-1.2408640907801782,2.684611415747895,120.31
1,2,1034,12,1075,58,1051.1309814453125,963.1541137695312,546.8471069335938,1054,35,957,33,97,0.11467307060956955,0.5011914014816284,1.4663867950439453,0.1124232110141138,-0.6334188337793947,1.300791098352073,141.78
1,3,907,10,944,50,1051.1309814453125,963.1541137695312,546.8471069335938,925,30,833,27,92,-0.05028734356164932,0.496319317817688,1.5505026578903198,-0.049782419106918496,-0.6743676303684355,1.3714862667407726,149.57
1,4,854,35,892,73,1051.1309814453125,963.1541137695312,546.8471069335938,873,54,756,24,117,-0.10310742259025574,0.5163395941257477,1.2911216020584106,-0.09249582715984873,-0.5056485934263341,1.078433645642317,128.0
1,5,1155,11,1199,56,1051.1309814453125,963.1541137695312,546.8471069335938,1177,33,1078,30,99,0.2697591632604599,0.5015256345272064,1.50484299659729,0.25929142781637204,-0.6230475244799918,1.2745124903045562,146.3
1,6,872,0,901,39,1051.1309814453125,963.1541137695312,546.8471069335938,886,19,798,17,88,-0.10384560376405716,0.4906343460083008,1.5785014629364014,-0.10524436900836194,-0.7200255824084614,1.4338265515926258,152.46
2,0,944,31,987,78,1051.1309814453125,963.1541137695312,546.8471069335938,965,54,763,54,202,0.0020302298944443464,0.5095536649227143,1.4441475868225098,0.001096922675850521,-0.29287567044990637,0.6246373096047083,135.81
2,1,791,37,830,85,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,698,61,112,-0.18286371231079102,0.5191548854112625,1.291388213634491,-0.16414705585371994,-0.5207197523809677,1.1265780048227774,126.69
2,2,907,10,944,49,1051.1309814453125,963.1541137695312,546.8471069335938,925,29,833,27,92,-0.04807676002383232,0.49943854808807375,1.5044500827789307,-0.049782419106918496,-0.6756724023625547,1.3714862667407726,145.03
2,3,1034,13,1075,58,1051.1309814453125,963.1541137695312,546.8471069335938,1054,35,958,33,96,0.11299082636833191,0.5019275784492493,1.456284999847412,0.11359428612884415,-0.6400169466312633,1.3143410056265736,140.99
2,4,854,35,892,74,1051.1309814453125,963.1541137695312,546.8471069335938,873,54,854,55,19,-0.10562048107385635,0.5185086071491242,1.3027071952819824,-0.5695795672474896,-3.113730812151636,6.640880870534267,128.98
2,5,1156,11,1197,55,1051.1309814453125,963.1541137695312,546.8471069335938,1176,33,1079,30,97,0.2674387991428375,0.5011912822723389,1.4760978817939758,0.26340012711713273,-0.6358938651909195,1.300791098352073,145.15
2,6,872,0,901,40,1051.1309814453125,963.1541137695312,546.8471069335938,886,20,798,17,88,-0.1052100732922554,0.4889323949813843,1.5764390230178833,-0.10524436900836194,-0.7186615025964277,1.4338265515926258,152.65
2,7,834,11,865,45,1051.1309814453125,963.1541137695312,546.8471069335938,849,28,756,24,93,-0.14894042164087296,0.4953720808029175,1.5642043948173523,-0.14734353054534716,-0.6696978499012255,1.3567391025822695,151.18
3,0,944,31,988,80,1051.1309814453125,963.1541137695312,546.8471069335938,966,55,763,54,203,-0.0014645325718447566,0.5119198203086853,1.4214329719543457,0.0016828443545850388,-0.2908416079183355,0.6215602785229116,132.72
3,1,791,37,830,86,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,698,60,112,-0.16513420641422272,0.5237328052520752,1.2531519532203674,-0.16414705585371994,-0.5207197523809677,1.1265780048227774,120.47
3,2,1034,12,1075,57,1051.1309814453125,963.1541137695312,546.8471069335938,1054,34,957,34,97,0.1135750338435173,0.5015071868896485,1.4604997634887695,0.1124232110141138,-0.634656349485157,1.300791098352073,141.68
3,3,907,11,945,51,1051.1309814453125,963.1541137695312,546.8471069335938,926,31,833,27,93,-0.050531432032585144,0.49763634204864504,1.5218309164047241,-0.04795638209008112,-0.6658256233380333,1.3567391025822695,147.59
3,4,853,38,893,76,1051.1309814453125,963.1541137695312,546.8471069335938,873,57,854,55,19,-0.1029394082725048,0.519979202747345,1.3024150133132935,-0.5695795672474896,-3.0947772821318007,6.640880870534267,126.73
3,5,1157,9,1198,54,1051.1309814453125,963.1541137695312,546.8471069335938,1177,31,1079,30,98,0.2699900269508362,0.49987795352935793,1.5038830041885376,0.2619372587124575,-0.6318549282697664,1.2875177197974599,145.88
3,6,871,1,901,43,1051.1309814453125,963.1541137695312,546.8471069335938,886,22,799,17,87,-0.10548708215355873,0.4925506949424744,1.5854976177215576,-0.10645407439926266,-0.7241624618571003,1.4503073165534606,153.52
3,7,833,12,864,46,1051.1309814453125,963.1541137695312,546.8471069335938,848,29,757,24,91,-0.15076196193695068,0.4962149500846863,1.5851023197174072,-0.15190096004589276,-0.6830973738170881,1.3865575443972644,152.49
4,0,944,32,987,79,1051.1309814453125,963.1541137695312,546.8471069335938,965,55,854,56,111,-0.0014883149415254593,0.5127737164497376,1.3147512674331665,0.0019962016263225697,-0.5318995171839832,1.1367273562175773,131.84
4,1,791,37,830,86,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,699,60,111,-0.16357413679361343,0.517950513958931,1.2546203136444092,-0.16562585815870842,-0.5254109213213367,1.1367273562175773,121.15
4,2,1034,13,1076,57,1051.1309814453125,963.1541137695312,546.8471069335938,1055,35,957,33,98,0.11595933884382248,0.5012174785137177,1.4868407249450684,0.11250092338599996,-0.6269553762918497,1.2875177197974599,142.92
4,3,907,11,945,50,1051.1309814453125,963.1541137695312,546.8471069335938,926,30,833,27,93,-0.048720233142375946,0.4960439443588257,1.5348728895187378,-0.04795638209008112,-0.6671163655257641,1.3567391025822695,149.54
4,4,1157,11,1197,55,1051.1309814453125,963.1541137695312,546.8471069335938,1177,33,1079,30,98,0.26932278275489807,0.5002143025398255,1.4952287673950195,0.2619372587124575,-0.6294051522808081,1.2875177197974599,145.84
4,5,834,9,865,45,1051.1309814453125,963.1541137695312,546.8471069335938,849,27,756,24,93,-0.150734543800354,0.49504765272140505,1.5807167291641235,-0.14734353054534716,-0.6709885920889563,1.3567391025822695,153.05
4,6,855,36,892,75,1051.1309814453125,963.1541137695312,546.8471069335938,873,55,763,54,110,-0.10334913432598114,0.5184274852275849,1.2900376319885254,-0.0983819252518391,-0.5367349673402011,1.1470612412741006,127.53
4,7,872,0,901,41,1051.1309814453125,963.1541137695312,546.8471069335938,886,20,798,17,88,-0.10389622300863266,0.49310567378997805,1.579453706741333,-0.10524436900836194,-0.7186615025964277,1.4338265515926258,152.72
5,0,944,31,987,78,1051.1309814453125,963.1541137695312,546.8471069335938,965,54,957,33,8,-0.0012690542498603463,0.5152575016021729,1.4746439456939697,0.027697297565225654,-7.395110678860135,15.772092067518884,136.28
5,1,791,37,830,86,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,763,55,47,-0.16618749499320984,0.5226532012224198,1.2394052743911743,-0.39115894160886455,-1.2408640907801782,2.684611415747895,120.72
5,2,907,11,945,50,1051.1309814453125,963.1541137695312,546.8471069335938,926,30,832,28,94,-0.05203848145902157,0.4969723761081696,1.5606642961502075,-0.047446207812527064,-0.6600193829137879,1.3423057078739475,150.93
5,3,1034,13,1076,57,1051.1309814453125,963.1541137695312,546.8471069335938,1055,35,757,25,298,0.11444636434316635,0.5020925045013428,1.478139042854309,0.03699694795915435,-0.20617995596174926,0.4234118675843996,142.56
5,4,853,35,892,74,1051.1309814453125,963.1541137695312,546.8471069335938,872,54,855,56,17,-0.10345698148012161,0.5172125190496445,1.2916969060897827,-0.6436500471271329,-3.480052084169475,7.422160972950063,128.4
5,5,1157,11,1197,56,1051.1309814453125,963.1541137695312,546.8471069335938,1177,33,1078,30,99,0.26577678322792053,0.5006741523742676,1.4555772542953491,0.25929142781637204,-0.6230475244799918,1.2745124903045562,143.45
5,6,872,0,900,40,1051.1309814453125,963.1541137695312,546.8471069335938,886,20,798,17,88,-0.10465377569198608,0.49196615219116213,1.5774227976799011,-0.10524436900836194,-0.7186615025964277,1.4338265515926258,152.33
6,0,944,32,987,78,1051.1309814453125,963.1541137695312,546.8471069335938,965,55,854,55,111,0.0020424274262040854,0.5160576939582825,1.337007999420166,0.0019962016263225697,-0.5318995171839832,1.1367273562175773,137.0
6,1,791,37,829,86,1051.1309814453125,963.1541137695312,546.8471069335938,810,61,699,60,111,-0.16906139254570007,0.5245852410793305,1.2592518329620361,-0.16562585815870842,-0.5254109213213367,1.1367273562175773,120.94
6,2,907,11,944,50,1051.1309814453125,963.1541137695312,546.8471069335938,925,30,755,24,170,-0.05113168619573116,0.4974777936935425,1.5748445391654968,-0.026941073869626478,-0.36495189408174156,0.7422160972950063,153.27
6,3,1034,12,1074,59,1051.1309814453125,963.1541137695312,546.8471069335938,1054,35,956,33,98,0.11322831362485886,0.5027766168117523,1.469929814338684,0.1112760353915208,-0.6269553762918497,1.2875177197974599,142.43
6,4,834,10,864,46,1051.1309814453125,963.1541137695312,546.8471069335938,849,28,833,28,16,-0.15000305324792862,0.4945527255535126,1.5635639429092407,-0.8564342712948303,-3.8926187525508738,7.886046033759442,151.24
