frame,ID,left_xmin,left_ymin,left_xmax,left_ymax,distance_cm
0,0,1259,175,1309,225,77.68
0,1,1135,155,1190,202,86.47
0,2,678,151,734,193,87.41
0,3,768,141,823,184,84.76
0,4,699,181,762,228,76.18
0,5,988,144,1050,189,86.46
0,6,934,177,1015,226,73.19
0,7,1084,179,1138,225,75.24
0,8,1080,132,1132,173,89.97
0,9,919,147,968,194,86.87
0,10,810,179,874,225,72.97
0,11,981,112,1045,153,95.29
0,12,1211,146,1270,193,87.45
0,13,882,120,930,157,102.6
0,14,839,159,892,199,76.68
0,15,842,135,890,172,102.35
0,16,1101,109,1142,144,107.97
1,0,1258,174,1309,227,77.09
1,1,1135,155,1190,202,81.09
1,2,678,150,734,193,89.85
1,3,699,181,761,228,76.17
1,4,988,144,1050,189,86.44
1,5,768,141,822,184,83.98
1,6,935,176,1012,226,74.49
1,7,1085,179,1139,225,76.03
1,8,1080,133,1133,173,90.08
1,9,919,146,968,193,85.65
1,10,981,111,1044,154,95.99
1,11,809,178,874,225,73.51
1,12,1213,147,1270,193,83.21
1,13,838,159,892,201,76.96
1,14,842,135,889,172,100.32
1,15,881,120,930,156,101.92
1,16,1101,110,1143,145,103.65
2,0,1259,175,1308,225,76.45
2,1,679,150,734,193,86.28
2,2,1135,155,1190,202,85.08
2,3,699,181,761,228,75.68
2,4,988,143,1051,189,86.7
2,5,934,176,1014,226,73.84
2,6,769,140,822,184,85.12
2,7,1080,132,1133,173,92.05
2,8,1212,146,1271,193,86.37
2,9,918,147,969,194,83.91
2,10,1083,179,1139,225,75.11
2,11,982,111,1044,154,95.83
2,12,809,178,874,225,73.5
2,13,839,159,891,201,76.38
2,14,881,120,931,156,102.36
2,15,842,135,889,173,99.92
2,16,1101,110,1143,144,105.68
3,0,1258,174,1309,226,77.31
3,1,678,150,735,193,88.4
3,2,1135,155,1190,202,82.62
3,3,699,181,761,228,75.76
3,4,768,141,823,184,84.38
3,5,988,144,1051,188,86.41
3,6,934,177,1013,226,73.71
3,7,1084,179,1138,225,76.07
3,8,1080,133,1132,173,90.54
3,9,919,147,968,194,84.79
3,10,981,111,1044,154,96.6
3,11,810,179,874,225,73.16
3,12,1213,146,1270,193,83.61
3,13,838,159,892,201,76.53
3,14,881,120,931,156,102.89
3,15,843,135,890,172,102.48
3,16,1102,110,1143,146,109.31
4,0,1259,175,1308,226,76.63
4,1,679,151,734,194,89.27
4,2,1135,156,1189,202,85.47
4,3,699,181,761,229,75.23
4,4,988,144,1051,188,86.73
4,5,768,141,823,184,85.43
4,6,919,146,968,194,88.51
4,7,934,177,1014,225,73.49
4,8,1080,133,1132,173,91.69
4,9,1212,147,1270,194,83.72
4,10,1083,179,1138,226,75.55
4,11,811,178,875,227,72.99
4,12,839,158,892,203,77.47
4,13,980,112,1044,154,96.84
4,14,1102,110,1142,146,106.28
4,15,879,119,931,156,101.79
4,16,842,136,890,175,101.13
5,0,1259,175,1308,226,77.31
5,1,1134,155,1189,203,82.24
5,2,679,151,734,193,88.94
5,3,699,181,761,229,75.6
5,4,988,144,1050,189,86.98
5,5,768,141,822,184,85.26
5,6,934,177,1013,226,73.27
5,7,919,147,968,194,89.42
5,8,1084,179,1138,225,75.55
5,9,1080,133,1133,173,90.01
5,10,1211,146,1270,193,82.97
5,11,981,111,1044,154,97.37
5,12,810,178,875,227,73.25
5,13,838,158,892,201,77.02
5,14,1102,110,1143,145,106.52
5,15,880,120,930,156,101.16
5,16,842,135,890,173,100.68
6,0,1258,175,1309,226,77.03
6,1,678,150,734,193,86.51
6,2,1134,156,1190,202,85.09
6,3,988,144,1051,189,86.43
6,4,699,180,761,229,75.93
6,5,934,176,1015,225,74.65
6,6,768,140,823,184,85.67
6,7,1085,180,1138,225,74.91
6,8,1080,133,1133,173,90.15
6,9,918,147,968,193,86.48
6,10,980,111,1045,154,96.66
6,11,810,178,874,225,73.58
6,12,1211,146,1270,193,83.91
6,13,839,159,892,202,76.36
6,14,880,120,931,156,100.09
6,15,1104,110,1143,146,104.59
6,16,842,136,890,174,101.14
7,1,1134,156,1189,202,82.59
7,2,678,150,734,194,85.7
7,3,767,141,822,184,84.03
7,4,935,178,1011,226,72.76
7,5,699,180,761,229,75.64
7,6,988,144,1051,189,87.22
7,7,1086,179,1138,225,75.84
7,8,919,148,968,193,87.63
7,9,1080,133,1133,173,90.75
7,10,1212,147,1270,193,84.58
7,11,981,111,1044,154,95.96
7,12,811,179,875,227,73.22
7,13,838,158,892,201,78.33
7,14,1101,109,1142,144,104.89
7,15,842,136,890,175,99.07
7,16,880,120,930,157,100.52
8,0,1258,174,1308,226,77.38
8,1,678,150,734,193,89.34
8,2,1133,155,1190,203,80.69
8,3,767,141,822,184,84.2
8,4,699,181,762,229,75.51
8,5,988,144,1051,189,86.28
8,6,936,177,1013,226,73.38
8,7,919,148,968,194,86.07
8,8,1212,146,1270,193,84.34
8,9,1080,133,1133,173,90.0
8,10,1084,180,1138,225,76.28
8,11,980,112,1044,154,95.13
8,12,809,179,875,228,73.32
8,13,880,120,930,157,103.38
